Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40,Salary,Seas_Played,Plyd_2024,Awards_2024
Aaliyah Edwards,TOT,F,36,534,13,0.504,0.448,0.058,0.565,10.5,15,6.6,2.2,2.5,17.6,20,95,106,-0.2,0.6,0.4,0.033,74909,2,1,0
Aaliyah Nye,LVA,G-F,44,671,5.7,0.473,0.453,0.69,0.099,2.6,5.7,5.5,1,1.2,13.1,14,91,109,-0.4,0.4,0,0.002,69267,1,0,0
Aari McDonald,IND,G,20,525,14,0.555,0.506,0.506,0.331,2,5.4,27.3,2.4,0.5,20.7,19,106,106,0.7,0.6,1.4,0.104,58792,5,1,0
Aerial Powers,TOT,G,10,167,16.2,0.504,0.469,0.292,0.292,7.1,14.1,19.5,2.5,0.5,13,22.7,104,102,0.2,0.3,0.5,0.117,25173,8,1,0
A'ja Wilson,LVA,C,40,1247,33.4,0.596,0.524,0.09,0.441,8.5,19.1,20.6,2.7,6.4,10,31.9,119,96,6.2,3.3,9.5,0.304,200000,8,1,1
Ajae Petty,DAL,F,2,6,-0.9,,,,,0,9.6,0,0,0,,0,,116,0,0,0,-0.01,4165,1,0,0
Alanna Smith,MIN,F,42,1114,18.1,0.563,0.565,0.488,0.197,7.1,11.4,16.5,2.6,6.6,15.3,17.5,110,96,1.9,2.9,4.8,0.172,150000,7,1,0
Alexis Prince,PHO,F,1,22,-1.6,0.333,0.333,0.333,0,0,20.8,6.5,0,0,50,12.3,40,100,-0.1,0,-0.1,-0.139,3975,2,0,0
Alissa Pili,TOT,F,19,99,12.4,0.621,0.536,0.429,0.536,4.9,11.4,4.5,1.1,0.9,18.8,19.6,107,104,0.1,0.1,0.3,0.111,59980,2,1,0
Aliyah Boston,IND,C-F,44,1327,22.8,0.58,0.544,0.058,0.292,9.6,16.5,21.3,2,2.8,12.5,21.9,118,101,4.6,2.5,7.1,0.215,83371,3,1,0
Allisha Gray,ATL,G,42,1451,19.7,0.598,0.54,0.467,0.419,3,9.1,17.5,1.6,0.9,10.3,22.8,119,102,5.2,2.5,7.7,0.212,190000,8,1,0
Alysha Clark,TOT,F,42,828,7.1,0.478,0.453,0.604,0.164,2.3,8.6,9.3,1.6,0.4,11.4,10.7,98,106,0.1,1,1.1,0.051,205908,7,1,0
Alyssa Thomas,PHO,F,39,1221,25.2,0.568,0.532,0.013,0.373,5.9,16.1,53.6,2.6,1.3,20.4,24.4,114,98,4.1,2.8,6.9,0.225,215000,8,1,0
Amy Okonkwo,DAL,F,8,157,21.9,0.63,0.574,0.492,0.328,4.9,9.1,6.8,3.6,0.6,9.1,21.3,121,109,0.5,0.1,0.7,0.167,10689,1,0,0
Anastasiia Kosu,MIN,F,21,80,13.6,0.492,0.448,0.069,0.517,15.2,11.1,9.8,0.7,4.6,16.4,24.5,99,105,0,0.1,0.1,0.068,69267,1,0,0
Aneesah Morrow,CON,F,41,775,15,0.461,0.405,0.251,0.318,12.4,21.7,5,2.1,2.3,11.7,22.6,95,106,-0.2,0.9,0.7,0.034,75643,1,0,0
Angel Reese,CHI,F,30,947,19.9,0.537,0.464,0.066,0.515,15.4,23.4,21.5,2.4,2,22.4,25,101,105,0.7,1.2,1.9,0.079,74909,2,1,0
Ariel Atkins,CHI,G,34,970,16,0.551,0.503,0.326,0.255,2.8,6.9,23.5,2.8,2.3,17.1,22.7,103,110,1.1,0.5,1.6,0.065,200000,8,1,0
Arike Ogunbowale,DAL,G,29,966,13.3,0.494,0.423,0.391,0.287,1.1,4.3,20.7,2,0.7,11.6,23.2,102,114,0.8,0,0.8,0.032,249032,7,1,0
Aziaha James,DAL,G,38,673,12.5,0.462,0.43,0.394,0.194,5.9,9.5,14.7,1.8,1,11,22.4,97,113,0,0.1,0.1,0.003,72455,1,0,0
Azura Stevens,LAS,F-C,44,1249,20.2,0.596,0.564,0.454,0.234,7.2,16.9,12.6,2.2,3.5,12,19.2,115,106,3.2,1.5,4.7,0.151,195000,8,1,0
Breanna Stewart,NYL,F,31,948,23.7,0.57,0.487,0.213,0.495,4,12.4,21,2.3,4,10.8,27.2,113,100,2.9,2,4.9,0.205,222400,8,1,0
Bree Hall,TOT,G,4,17,-16.6,0.237,0.2,0.4,0.6,0,10.4,0,0,0,32.2,25.3,33,106,-0.2,0,-0.2,-0.421,21101,1,0,0
Bria Hartley,CON,G,38,867,10.5,0.505,0.454,0.502,0.314,1.5,5.2,23.8,1.7,0,17.1,21.1,97,115,0,-0.1,-0.2,-0.007,78831,6,0,0
Brianna Turner,IND,F-C,27,233,7.5,0.422,0.406,0.031,0.25,9.2,13,10,0.4,3.1,20.2,8.6,101,106,0.1,0.3,0.3,0.056,85000,7,1,0
Bridget Carleton,MIN,F,44,1227,10,0.538,0.526,0.665,0.098,3.9,7.7,10.1,1.6,0.9,11.1,11.2,112,104,1.6,1.8,3.4,0.11,125000,5,1,0
Brionna Jones,ATL,F,44,1169,22.6,0.581,0.541,0.108,0.309,14,16.1,14.6,2.2,2.6,11.7,21.6,119,99,4.2,2.6,6.8,0.234,214466,8,1,0
Brittney Griner,ATL,C,39,810,16.1,0.564,0.527,0.063,0.282,5.4,14.8,7.3,0.3,5,14.8,22.6,102,100,0.7,1.7,2.4,0.117,214466,9,1,0
Brittney Sykes,TOT,G,39,1194,13.4,0.497,0.415,0.223,0.479,2,6.3,22.8,2.1,1.1,15,25.1,97,106,0,1.4,1.4,0.046,195000,9,1,0
Caitlin Clark,IND,G,13,404,16.5,0.491,0.441,0.531,0.255,0.3,9.8,47.2,2.7,1.6,23.2,31.5,94,102,-0.3,0.7,0.5,0.045,78066,2,1,1
Cameron Brink,LAS,F,19,244,15.3,0.526,0.488,0.415,0.256,13,20.1,6,2.1,9.8,21.5,21.3,94,102,-0.1,0.4,0.3,0.055,78066,2,1,0
Camryn Taylor,MIN,F,6,23,-9.7,0.19,0.214,0.429,0.286,10.6,15.5,5.7,0,0,27.6,21.7,46,105,-0.2,0,-0.2,-0.283,19610,1,0,0
Carla Leite,GSV,G,37,637,11.5,0.505,0.417,0.338,0.446,1.7,4.4,22.4,2.2,0.5,17.7,23.6,97,105,0,0.8,0.8,0.051,72455,1,0,0
Cecilia Zandalasini,GSV,F,19,450,15.6,0.606,0.57,0.607,0.213,1.3,7.3,13.9,2.1,0.9,13.2,19.6,111,103,0.8,0.7,1.6,0.139,100000,3,1,0
Chelsea Gray,LVA,G,44,1368,15.4,0.572,0.521,0.444,0.27,2.1,7.4,28.3,2.3,1.8,22.5,18.5,106,105,1.7,1.8,3.5,0.104,196267,7,1,0
Cheyenne Parker-Tyus,LVA,F,2,14,37.3,0.752,0.688,0.25,0.75,0,8.3,0,0,0,8.6,37.9,133,110,0.1,0,0.1,0.364,78831,7,1,0
Chloe Bibby,TOT,F,14,154,15,0.568,0.536,0.764,0.164,3.9,9.6,7.8,2.7,0.6,10.6,19.5,109,102,0.2,0.3,0.5,0.132,37204,1,0,0
Christyn Williams,DAL,G,4,45,8.7,0.456,0.406,0.25,0.375,4.9,5.1,10.8,0,0,5.1,19,103,120,0,0,0,-0.004,6802,2,0,0
Courtney Vandersloot,CHI,G,7,191,15.4,0.516,0.477,0.348,0.197,1.2,6.8,35.3,3,1,19.2,20.9,101,110,0.1,0.1,0.2,0.049,185000,11,1,0
Courtney Williams,MIN,G,44,1260,17.9,0.496,0.478,0.257,0.091,2.2,10.2,35.6,2.3,1,14.3,25.7,104,100,1.8,2.6,4.4,0.138,180000,8,1,0
Crystal Bradford,LVA,F,4,24,7,0.333,0.333,0.333,0,9.7,12.2,6.3,4.3,0,14.3,13.3,80,101,0,0,0,0.007,16103,2,0,0
Damiris Dantas,IND,C-F,38,439,8.4,0.453,0.417,0.525,0.155,7.6,12.6,8.9,0.7,0.6,13,22.7,92,107,-0.3,0.4,0.1,0.01,100000,6,1,0
Dana Evans,LVA,G,44,777,10.8,0.488,0.456,0.367,0.193,1.2,3.5,20.5,1.1,0.6,11,19.7,101,110,0.4,0.4,0.8,0.043,89000,5,1,0
Dearica Hamby,LAS,F,44,1374,23.8,0.605,0.586,0.095,0.417,10,15.2,20,2.5,1.4,14.9,25.6,114,108,4.4,1.2,5.6,0.162,202000,7,1,1
DeWanna Bonner,TOT,F-G,33,778,15.2,0.551,0.486,0.467,0.335,4.2,10.2,7.8,1.8,1.1,8.7,18.6,111,104,1.4,1.2,2.6,0.134,136004,7,1,0
Diamond Miller,TOT,F,40,434,8.5,0.519,0.466,0.381,0.343,2.9,7,11,1.4,1.5,18.1,19.4,94,108,-0.1,0.4,0.2,0.021,83371,3,1,0
DiJonai Carrington,TOT,G-F,31,680,12.8,0.484,0.428,0.26,0.296,7.9,10.5,11.6,2.6,1.8,15.9,24.1,94,108,-0.3,0.6,0.3,0.016,200000,5,1,1
Dominique Malonga,SEA,C,42,600,20,0.566,0.559,0.068,0.194,10.5,19.5,11.3,1.5,4.2,14.4,25.5,102,99,0.6,1.3,1.9,0.126,78831,1,0,0
Elizabeth Kitley,LVA,C,12,98,1,0.314,0.304,0.043,0.087,4.7,10.1,1.5,2.1,5.4,22.7,14.4,59,102,-0.4,0.2,-0.2,-0.091,31827,1,0,0
Elizabeth Williams,CHI,C-F,43,906,17.2,0.502,0.48,0,0.248,10.4,14.5,16.3,1.8,4,13.4,20.8,102,109,0.7,0.6,1.3,0.059,100000,8,1,0
Emily Engstler,WAS,F,40,512,14.7,0.487,0.455,0.47,0.269,8.9,15.6,19.1,2.8,5.1,20.2,16.9,96,99,0,1.1,1.1,0.082,81079,4,1,0
Emma Cannon,LAS,F,21,213,13.6,0.636,0.619,0.571,0.365,6.3,10.7,6.2,2.4,0.4,18,18.7,107,110,0.3,0.1,0.4,0.076,116331,6,1,0
Emma Meesseman,NYL,F,17,440,22.8,0.65,0.616,0.132,0.233,6.2,11.5,23,2.5,2.7,17,22.2,115,102,1.3,0.8,2.1,0.192,75694,6,0,0
Erica Wheeler,SEA,G,44,1126,13.2,0.515,0.49,0.486,0.119,1.8,6.4,20.5,2.5,0.7,13.3,20.7,99,104,0.4,1.7,2.1,0.074,78831,7,1,0
Ezi Magbegor,SEA,F-C,44,1203,16.1,0.547,0.517,0.168,0.29,8.2,13.6,11.6,1.3,7.2,11.8,13.9,113,100,2.1,2.4,4.5,0.151,186000,7,1,0
Gabby Williams,SEA,F,44,1391,15.6,0.508,0.475,0.35,0.16,2,8.2,21.1,3.6,1.4,14.3,19.3,100,100,0.5,2.8,3.4,0.097,225000,8,1,0
Grace Berger,TOT,G,19,418,6.2,0.335,0.303,0.258,0.169,3.2,8.7,20.1,1.7,1.6,18,12.1,83,112,-0.6,0.1,-0.5,-0.046,30540,3,1,0
Hailey Van Lith,CHI,G,29,361,5.6,0.416,0.362,0.284,0.284,1.3,5,20.8,1.7,1,22.7,19.7,80,114,-0.9,0,-0.9,-0.102,72455,1,0,0
Haley Jones,TOT,F-G,28,594,11.4,0.501,0.484,0.207,0.186,3.3,9.5,17.7,1.8,3.5,19.1,18.4,93,110,-0.3,0.4,0,0.003,46645,3,1,0
Haley Peters,CON,F-G,33,380,5,0.388,0.354,0.476,0.159,7.5,11.6,10.6,1.5,0.8,20.1,13.1,83,113,-0.6,0.1,-0.5,-0.054,78831,6,0,0
Iliana Rupert,GSV,C,21,486,15.9,0.609,0.588,0.68,0.105,5.2,9.7,13,1.4,2.6,11.1,17.3,117,103,1.2,0.8,1.9,0.159,32207,4,1,0
Isabelle Harrison,NYL,F,34,360,17.2,0.546,0.5,0.112,0.321,9.9,14.3,11.9,2.9,0.5,13.1,22.6,106,101,0.5,0.7,1.2,0.135,78831,8,1,0
Jackie Young,LVA,G,44,1336,22.3,0.596,0.548,0.408,0.26,4.5,8.6,30.9,2.2,1.2,13.9,24.2,117,106,4.9,1.6,6.6,0.197,169950,7,1,0
Jacy Sheldon,TOT,G,30,708,12,0.593,0.567,0.511,0.14,3.6,4.8,13.8,2,0.8,14.1,14.1,112,114,1.1,-0.1,1,0.058,74909,2,1,0
Jade Melbourne,WAS,G,43,1008,7.4,0.496,0.458,0.422,0.324,2.1,4.9,20.2,1.3,0.8,21.9,15.1,93,109,-0.5,0.7,0.2,0.007,66710,3,1,0
Jaelyn Brown,CON,G-F,10,131,6.3,0.488,0.486,0.486,0.054,3.5,5.5,1.3,2,1.5,11.7,14.9,90,114,-0.1,0,-0.1,-0.027,42757,2,1,0
Janelle Salaün,GSV,F,36,973,12,0.523,0.493,0.475,0.171,3.9,11,8.7,1.2,0.3,12,21.2,99,104,0.3,1.4,1.8,0.073,66079,1,0,0
Jaylyn Sherrod,TOT,G,26,142,5.4,0.445,0.375,0.464,0.464,1.7,6.2,12.3,4,0,26.2,14.9,80,101,-0.3,0.3,0,0.001,84959,2,1,0
Jessica Shepard,MIN,F,40,835,21.1,0.634,0.638,0.005,0.498,13.4,20.9,19.4,1.2,0.4,18.7,17.1,122,99,2.9,1.8,4.6,0.223,78831,6,0,0
Jewell Loyd,LVA,G,44,1245,13.4,0.536,0.506,0.614,0.166,4.6,6.7,10.7,2.2,0.8,10.4,18.7,106,107,1.6,1.2,2.8,0.091,249032,7,1,0
JJ Quinerly,DAL,G,34,539,13.2,0.529,0.481,0.287,0.239,3.7,6.7,24,2.7,1.2,20,20.9,99,111,0.2,0.2,0.4,0.027,66079,1,0,0
Jonquel Jones,NYL,C,31,830,20.3,0.611,0.577,0.408,0.297,6.7,17.5,18.3,0.9,3.6,15.8,22.9,111,100,1.9,1.6,3.6,0.172,209000,8,1,0
Jordin Canada,ATL,G,28,783,16.5,0.498,0.441,0.315,0.352,1.2,6.9,33.2,3.2,1,16.4,22.1,104,99,0.9,1.7,2.6,0.135,190000,8,1,0
Joyner Holmes,LVA,F,6,29,-4.4,0.292,0.292,0.417,0,8,12.1,0,0,0,14.3,22,61,110,-0.2,0,-0.1,-0.204,17223,6,1,0
Julie Allemand,LAS,G,34,963,11.5,0.547,0.528,0.635,0.119,1.6,7.9,25.7,2.4,0.1,24.1,10.2,110,111,1.2,0.4,1.5,0.064,85000,3,0,0
Julie Vanloo,TOT,G,35,449,3.5,0.429,0.41,0.829,0.09,1.1,4.2,24.1,1.7,0,29.8,16.7,79,111,-1,0.2,-0.9,-0.078,66079,2,1,0
Kahleah Copper,PHO,G-F,28,752,14.4,0.548,0.503,0.418,0.244,1.6,6.2,10.6,2,0.6,13.4,27.6,98,105,0.2,1,1.2,0.064,248134,8,1,0
Kaila Charles,TOT,G-F,35,616,13.8,0.532,0.487,0.383,0.261,8.5,14,9.9,2.4,1.1,15.3,18.2,103,104,0.5,0.9,1.4,0.091,55976,5,0,0
Kaitlyn Chen,GSV,G,24,247,4.6,0.452,0.43,0.3,0.14,2.4,5.2,16.6,1.1,0,25.3,13.4,85,108,-0.3,0.2,-0.1,-0.015,49420,1,0,0
Kalani Brown,PHO,C,29,370,18.8,0.664,0.63,0.083,0.365,10.9,18.1,7.4,1,4.6,17.1,16.3,119,100,1,0.7,1.7,0.187,128750,6,1,0
Kamiah Smalls,ATL,G,3,3,0,,,,,0,0,0,0,0,,0,,110,0,0,0,0.021,6774,3,0,0
Kamilla Cardoso,CHI,C,40,1102,19.8,0.565,0.53,0.005,0.315,12.7,18.2,17.8,0.7,4,16.8,23.5,107,110,1.9,0.6,2.5,0.091,78066,2,1,0
Kariata Diaby,CON,C,13,103,5.8,0.62,0.5,0,1,3.3,7.5,7.8,3,0.9,37.3,14.2,85,110,-0.1,0.1,-0.1,-0.031,27764,1,0,0
Karlie Samuelson,MIN,G,16,228,6.8,0.55,0.476,0.81,0.333,1.6,5.2,10.1,1.4,0.4,18.6,11.9,105,105,0.2,0.3,0.5,0.079,118450,6,1,0
Kate Martin,GSV,G,42,687,9.4,0.459,0.43,0.692,0.154,3.5,9.5,10.9,1.3,0.6,10.7,21.6,93,104,-0.4,1,0.6,0.032,68595,2,1,0
Kathryn Westbeld,PHO,F,43,792,10.5,0.482,0.456,0.609,0.149,4.3,7.9,7.6,2.3,2.9,9.5,14.4,100,103,0.3,1.3,1.6,0.08,66079,1,0,0
Kayla McBride,MIN,G,39,1220,16,0.584,0.536,0.61,0.245,1,4.3,17.1,2.1,0.2,12.4,20.4,113,104,2.9,1.7,4.6,0.152,205000,7,1,0
Kayla Thornton,GSV,F,22,662,15.1,0.493,0.435,0.514,0.297,7.2,13.6,9.8,2.3,0.8,10.3,24.5,101,100,0.4,1.3,1.7,0.105,132000,8,1,0
Kelsey Mitchell,IND,G,44,1381,19.9,0.574,0.536,0.408,0.275,1.6,3.4,19.6,1.4,0.5,9.1,27.7,114,109,4.5,1,5.6,0.161,269244,8,1,0
